Date,Time,Open,High,Low,Close,Volume
20201211,12:25:00,104.117,104.127,104.111,104.114,589155008
20201211,12:30:00,104.113,104.124,104.109,104.120,934134976
20201211,12:35:00,104.119,104.121,104.075,104.100,1570717952
20201211,12:40:00,104.100,104.114,104.092,104.109,1724376960
20201211,12:45:00,104.108,104.108,104.091,104.103,820227968
20201211,12:50:00,104.104,104.115,104.102,104.111,963131008
20201211,12:55:00,104.112,104.124,104.111,104.118,1124251008
20201211,13:00:00,104.117,104.130,104.110,104.122,1623244032
20201211,13:05:00,104.123,104.143,104.118,104.140,1544754944
20201211,13:10:00,104.139,104.153,104.124,104.135,1197208064
20201211,13:15:00,104.135,104.139,104.116,104.122,983267968
20201211,13:20:00,104.122,104.136,104.118,104.124,1258551040
20201211,13:25:00,104.124,104.132,104.120,104.125,925150016
20201211,13:30:00,104.124,104.130,104.091,104.109,1919905024
20201211,13:35:00,104.109,104.122,104.087,104.101,1400544000
20201211,13:40:00,104.101,104.103,104.071,104.086,1175697024
20201211,13:45:00,104.087,104.090,104.033,104.043,1287467008
20201211,13:50:00,104.045,104.082,104.038,104.072,1450098944
20201211,13:55:00,104.071,104.071,104.029,104.047,1557070976
20201211,14:00:00,104.047,104.062,104.034,104.053,1650577024
20201211,14:05:00,104.052,104.071,104.049,104.060,1649443968
20201211,14:10:00,104.061,104.068,104.028,104.036,1163792000
20201211,14:15:00,104.037,104.044,104.022,104.032,1600969984
20201211,14:20:00,104.030,104.043,104.025,104.031,2021922944
20201211,14:25:00,104.031,104.063,104.026,104.057,1368324992
20201211,14:30:00,104.057,104.060,104.017,104.028,1392811008
20201211,14:35:00,104.028,104.029,104.006,104.019,1058675008
20201211,14:40:00,104.018,104.029,103.981,103.995,1473451008
20201211,14:45:00,103.994,104.001,103.976,103.997,1821600000
20201211,14:50:00,103.998,104.011,103.983,103.990,1147350016
20201211,14:55:00,103.991,104.009,103.976,103.987,963200000
20201211,15:00:00,103.986,103.991,103.953,103.964,1705107968
20201211,15:05:00,103.964,103.971,103.941,103.957,2102994944
20201211,15:10:00,103.957,103.971,103.914,103.918,1432882944
20201211,15:15:00,103.918,103.921,103.901,103.902,2147483647
20201211,15:20:00,103.903,103.910,103.830,103.864,2147483647
20201211,15:25:00,103.865,103.865,103.836,103.843,1477750016
20201211,15:30:00,103.843,103.844,103.823,103.842,1443250048
20201211,15:35:00,103.843,103.899,103.842,103.869,1761154048
20201211,15:40:00,103.868,103.895,103.862,103.884,1668000000
20201211,15:45:00,103.884,103.937,103.862,103.919,1830800000
20201211,15:50:00,103.919,103.964,103.911,103.943,1612798976
20201211,15:55:00,103.942,103.971,103.926,103.944,2147483647
20201211,16:00:00,103.944,103.951,103.932,103.936,1490050048
20201211,16:05:00,103.937,103.951,103.924,103.933,593697984
20201211,16:10:00,103.932,103.940,103.909,103.917,743800000
20201211,16:15:00,103.916,103.927,103.912,103.914,750001984
20201211,16:20:00,103.915,103.931,103.897,103.904,719702016
20201211,16:25:00,103.904,103.908,103.894,103.907,597324992
20201211,16:30:00,103.906,103.926,103.903,103.910,637096000
20201211,16:35:00,103.911,103.912,103.901,103.910,717900032
20201211,16:40:00,103.909,103.911,103.872,103.881,801249984
20201211,16:45:00,103.880,103.888,103.875,103.878,585500032
20201211,16:50:00,103.881,103.886,103.867,103.870,903550016
20201211,16:55:00,103.871,103.874,103.861,103.871,1017800000
20201211,17:00:00,103.872,103.892,103.870,103.879,1258343936
20201211,17:05:00,103.878,103.901,103.878,103.901,766350016
20201211,17:10:00,103.902,103.902,103.872,103.873,436750016
20201211,17:15:00,103.872,103.901,103.871,103.896,461249984
20201211,17:20:00,103.897,103.900,103.885,103.888,597000000
20201211,17:25:00,103.888,103.892,103.876,103.877,352752000
20201211,17:30:00,103.877,103.888,103.872,103.886,210950000
20201211,17:35:00,103.886,103.901,103.881,103.887,550081024
20201211,17:40:00,103.887,103.921,103.887,103.921,804000000
20201211,17:45:00,103.924,103.926,103.903,103.909,298497984
20201211,17:50:00,103.908,103.909,103.901,103.903,146300000
20201211,17:55:00,103.904,103.928,103.903,103.912,611801024
20201211,18:00:00,103.913,103.929,103.908,103.921,351380992
20201211,18:05:00,103.921,103.924,103.910,103.924,275049984
20201211,18:10:00,103.924,103.965,103.919,103.964,198863008
20201211,18:15:00,103.964,103.974,103.951,103.971,323100000
20201211,18:20:00,103.972,103.986,103.970,103.980,300900000
20201211,18:25:00,103.980,103.987,103.971,103.985,434300000
20201211,18:30:00,103.985,104.015,103.985,104.014,411756992
20201211,18:35:00,104.014,104.014,104.006,104.007,277049984
20201211,18:40:00,104.007,104.009,103.996,104.005,297300000
20201211,18:45:00,104.006,104.006,103.989,103.995,245646000
20201211,18:50:00,103.996,104.033,103.990,104.033,366849984
20201211,18:55:00,104.033,104.034,104.011,104.011,276627008
20201211,19:00:00,104.011,104.028,104.004,104.028,325075008
20201211,19:05:00,104.028,104.030,104.018,104.025,284028992
20201211,19:10:00,104.025,104.028,104.014,104.025,335062016
20201211,19:15:00,104.026,104.039,104.022,104.035,401028992
20201211,19:20:00,104.035,104.046,104.034,104.038,573926976
20201211,19:25:00,104.038,104.039,104.029,104.032,315350016
20201211,19:30:00,104.034,104.034,104.009,104.014,302756000
20201211,19:35:00,104.014,104.022,103.999,104.017,405750016
20201211,19:40:00,104.017,104.034,104.016,104.029,546449984
20201211,19:45:00,104.029,104.039,104.020,104.020,800009984
20201211,19:50:00,104.020,104.025,104.010,104.020,498644000
20201211,19:55:00,104.020,104.030,104.005,104.005,486822016
20201211,20:00:00,104.007,104.010,104.000,104.007,433825984
20201211,20:05:00,104.005,104.030,104.005,104.025,305750016
20201211,20:10:00,104.025,104.034,104.014,104.034,225750000
20201211,20:15:00,104.034,104.035,104.020,104.021,253450000
20201211,20:20:00,104.021,104.028,104.015,104.021,308747008
20201211,20:25:00,104.021,104.029,104.019,104.024,398363008
20201211,20:30:00,104.024,104.028,104.015,104.015,189850000
20201211,20:35:00,104.015,104.024,104.010,104.013,220600000
20201211,20:40:00,104.013,104.044,104.011,104.042,348649984
20201211,20:45:00,104.042,104.050,104.038,104.044,537249984
20201211,20:50:00,104.044,104.056,104.041,104.052,407400000
20201211,20:55:00,104.052,104.052,104.035,104.036,337017984
20201214,00:00:00,103.965,103.976,103.932,103.942,970252992
20201214,00:05:00,103.943,103.944,103.890,103.894,1101799936
20201214,00:10:00,103.894,103.976,103.894,103.976,728600000
20201214,00:15:00,103.977,103.988,103.952,103.979,544924992
20201214,00:20:00,103.979,103.987,103.959,103.960,700115008
20201214,00:25:00,103.961,103.991,103.956,103.971,499240000
20201214,00:30:00,103.971,103.985,103.944,103.955,563550016
20201214,00:35:00,103.955,104.021,103.955,104.014,781809984
20201214,00:40:00,104.015,104.017,103.990,104.011,640249984
20201214,00:45:00,104.011,104.018,103.994,104.004,522615008
20201214,00:50:00,104.003,104.023,103.947,104.020,1859840000
20201214,00:55:00,104.019,104.045,104.005,104.026,1214224000
20201214,01:00:00,104.026,104.061,104.025,104.044,904392000
20201214,01:05:00,104.043,104.047,104.015,104.033,645987008
20201214,01:10:00,104.033,104.043,104.015,104.034,729721984
20201214,01:15:00,104.034,104.036,104.010,104.011,668524992
20201214,01:20:00,104.010,104.018,103.997,104.018,623657984
20201214,01:25:00,104.019,104.022,104.004,104.012,449224992
20201214,01:30:00,104.013,104.026,104.006,104.021,634249984
20201214,01:35:00,104.020,104.025,104.006,104.006,612120000
20201214,01:40:00,104.007,104.017,104.003,104.012,568321024
20201214,01:45:00,104.014,104.016,103.993,103.995,791425024
20201214,01:50:00,103.996,104.020,103.952,104.016,1373880064
20201214,01:55:00,104.016,104.016,103.999,104.004,606854976
20201214,02:00:00,104.004,104.004,103.994,103.997,408894016
20201214,02:05:00,103.997,104.015,103.997,104.001,411624992
20201214,02:10:00,104.003,104.010,104.000,104.001,198500000
20201214,02:15:00,104.002,104.005,103.995,103.999,356600000
20201214,02:20:00,103.997,104.005,103.988,104.001,305968992
20201214,02:25:00,104.001,104.003,103.997,104.001,188250000
20201214,02:30:00,104.001,104.007,104.000,104.002,279350016
20201214,02:35:00,104.001,104.016,103.998,104.009,459350016
20201214,02:40:00,104.009,104.009,103.999,104.001,365000000
20201214,02:45:00,104.001,104.002,103.990,103.994,271724992
20201214,02:50:00,103.994,103.994,103.966,103.971,587100032
20201214,02:55:00,103.971,103.978,103.953,103.978,533500000
20201214,03:00:00,103.979,103.981,103.961,103.978,709100032
20201214,03:05:00,103.977,103.996,103.976,103.996,414550016
20201214,03:10:00,103.996,103.996,103.971,103.971,389150016
20201214,03:15:00,103.971,103.977,103.956,103.958,444249984
20201214,03:20:00,103.959,103.982,103.957,103.980,441950016
20201214,03:25:00,103.980,103.989,103.977,103.984,335000000
20201214,03:30:00,103.985,103.995,103.982,103.988,529435008
20201214,03:35:00,103.989,104.006,103.988,103.999,368790016
20201214,03:40:00,103.998,103.999,103.976,103.983,358464992
20201214,03:45:00,103.984,103.998,103.978,103.995,450300000
20201214,03:50:00,103.995,103.999,103.992,103.997,253150000
20201214,03:55:00,103.998,103.999,103.985,103.986,426750016
20201214,04:00:00,103.986,104.001,103.984,104.000,334492000
20201214,04:05:00,103.999,104.009,103.991,104.007,281249984
20201214,04:10:00,104.006,104.008,104.002,104.004,182800000
20201214,04:15:00,104.004,104.009,104.000,104.003,277319008
20201214,04:20:00,104.004,104.009,103.999,104.008,175300000
20201214,04:25:00,104.007,104.009,103.997,104.002,155620000
20201214,04:30:00,104.003,104.034,104.002,104.033,389300000
20201214,04:35:00,104.033,104.052,104.031,104.047,653441024
